0,1,2,3,4,5,6,7,8,9,10,11
124,O,,,,make,submission,O,0.00546295,12,0.96097561,"0.8592896174863388
"
125,O,,,,include,scores,O,3.51E-05,12,0.96097561,"0.8592896174863388
"
126,S-passive,,,prize,award,,A,0.775553405,12,0.96097561,"0.8592896174863388
"
127,A,,,Brahms,make,themselves,A,0.99985683,12,0.96097561,"0.8592896174863388
"
128,A,,,Brahms,recommend,Dvořák,A,0.999993086,12,0.96097561,"0.8592896174863388
"
129,O,,,,recommend,Dvořák,O,0.011631832,12,0.96097561,"0.8592896174863388
"
130,A,,,music,have,sales,O,0.015978312,12,0.96097561,"0.8592896174863388
"
131,O,,,,have,sales,O,2.45E-07,12,0.96097561,"0.8592896174863388
"
132,S-passive,,,reputation,launch,,A,0.999155164,12,0.96097561,"0.8592896174863388
"
133,S-passive,,,piece,premiere,,A,0.97684586,12,0.96097561,"0.8592896174863388
"
134,A,,,Dvořák,make,visits,A,0.999996424,12,0.96097561,"0.8592896174863388
"
135,O,,,,make,visits,O,1.37E-05,12,0.96097561,"0.8592896174863388
"
136,O,,,,conduct,performances,O,5.12E-09,12,0.96097561,"0.8592896174863388
"
137,S-passive,,,Symphony,write,,A,0.998722732,12,0.96097561,"0.8592896174863388
"
138,O,,,,visit,Russia,O,0.000253665,12,0.96097561,"0.8592896174863388
"
139,O,,,,conduct,concerts,O,0.000151547,12,0.96097561,"0.8592896174863388
"
140,S-passive,,,Dvořák,appoint,,A,0.895477474,12,0.96097561,"0.8592896174863388
"
141,O,,,,write,Trio,O,0.27171737,12,0.96097561,"0.8592896174863388
"
142,S,,,Dvořák,move,,A,0.999472916,12,0.96097561,"0.8592896174863388
"
143,A,,,Dvořák,write,works,A,0.999509931,12,0.96097561,"0.8592896174863388
"
144,O,,,,write,works,O,9.39E-07,12,0.96097561,"0.8592896174863388
"
145,O,,,,spread,reputation,O,1.53E-05,12,0.96097561,"0.8592896174863388
"
146,O,,,,write,piece,O,8.09E-07,12,0.96097561,"0.8592896174863388
"
147,A,,,shortfalls,lead,him,A,0.999998808,12,0.96097561,"0.8592896174863388
"
148,O,,,,leave,States,O,0.001535738,12,0.96097561,"0.8592896174863388
"
149,O,,,,have,librettos,O,2.28E-05,12,0.96097561,"0.8592896174863388
"
150,O,,,,convey,spirit,O,0.000221939,12,0.96097561,"0.8592896174863388
"
151,S-passive,,,Humoresque,perform,,O,0.0001984,12,0.96097561,"0.8592896174863388
"
152,S-passive,,,Otto,bear,,A,0.999934196,12,0.96097561,"0.8592896174863388
"
153,O,,,,teach,Icelandic,O,2.48E-09,12,0.96097561,"0.8592896174863388
"
154,O,,,,enter,University,O,9.07E-08,12,0.96097561,"0.8592896174863388
"
155,O,,,,study,law,O,1.08E-09,12,0.96097561,"0.8592896174863388
"
156,O,,,,forget,studies,O,0.000278782,12,0.96097561,"0.8592896174863388
"
157,O,,,,shift,focus,O,8.32E-08,12,0.96097561,"0.8592896174863388
"
158,O,,,,earn,degree,O,1.17E-07,12,0.96097561,"0.8592896174863388
"
159,O,,,,meet,linguists,O,0.018118633,12,0.96097561,"0.8592896174863388
"
160,O,,,,attend,lectures,O,6.59E-10,12,0.96097561,"0.8592896174863388
"
161,O,,,,follow,advice,O,3.42E-07,12,0.96097561,"0.8592896174863388
"
162,O,,,,begin,work,O,5.60E-10,12,0.96097561,"0.8592896174863388
"
163,O,,,,defend,dissertation,O,0.000162828,12,0.96097561,"0.8592896174863388
"
164,S,,,work,focus,,A,0.999304652,12,0.96097561,"0.8592896174863388
"
165,O,,,,advance,theories,O,0.000137893,12,0.96097561,"0.8592896174863388
"
166,A,,,Jespersen,remove,parts,A,0.999977708,12,0.96097561,"0.8592896174863388
"
167,O,,,,remove,parts,O,0.000131359,12,0.96097561,"0.8592896174863388
"
168,S-passive,,,term,apply,,A,1,12,0.96097561,"0.8592896174863388
"
169,S-passive,,,concepts,express,,O,0.006486124,12,0.96097561,"0.8592896174863388
"
170,S-passive,,,term,qualify,,A,0.999896049,12,0.96097561,"0.8592896174863388
"
171,O,,,,represent,idea,O,0.00882583,12,0.96097561,"0.8592896174863388
"
172,A,,,nexus,combine,ideas,A,0.910641491,12,0.96097561,"0.8592896174863388
"
173,O,,,,combine,ideas,O,4.63E-08,12,0.96097561,"0.8592896174863388
"
174,S,,,Junction,prove,,A,0.99996829,12,0.96097561,"0.8592896174863388
"
175,O,,,,bring,concept,O,1.37E-05,12,0.96097561,"0.8592896174863388
"
176,S-passive,,,Language,consider,,A,0.999885559,12,0.96097561,"0.8592896174863388
"
177,S,,,Grammar,concentrate,,A,0.998868644,12,0.96097561,"0.8592896174863388
"
178,O,,,,publish,Syntax,O,1.00E-05,12,0.96097561,"0.8592896174863388
"
179,O,,,,present,views,O,1.05E-13,12,0.96097561,"0.8592896174863388
"
180,O,,,,use,notation,O,0.003256865,12,0.96097561,"0.8592896174863388
"
181,O,,,,challenge,views,O,1.04E-10,12,0.96097561,"0.8592896174863388
"
182,O,,,,propose,corrections,O,1.65E-07,12,0.96097561,"0.8592896174863388
"
183,O,,,,develop,notions,O,0.021655904,12,0.96097561,"0.8592896174863388
"
184,S-passive,,,book,use,,A,0.717420697,12,0.96097561,"0.8592896174863388
"
185,A,,,Jespersen,visit,States,A,0.999774158,12,0.96097561,"0.8592896174863388
"
186,O,,,,visit,States,O,5.67E-05,12,0.96097561,"0.8592896174863388
"
187,O,,,,visit,University,O,5.35E-05,12,0.96097561,"0.8592896174863388
"
188,O,,,,take,occasion,O,3.81E-07,12,0.96097561,"0.8592896174863388
"
189,O,,,,study,system,O,2.35E-07,12,0.96097561,"0.8592896174863388
"
190,S-passive,,,autobiography,publish,,A,0.999873996,12,0.96097561,"0.8592896174863388
"
191,S-expletive,,,logic,be,,A,0.532926381,12,0.96097561,"0.8592896174863388
"
192,O,,,,deny,kind,O,9.02E-08,12,0.96097561,"0.8592896174863388
"
193,O,,,,see,collection,O,0.005175216,12,0.96097561,"0.8592896174863388
"
194,S-expletive,,,denying,be,,A,0.532505691,12,0.96097561,"0.8592896174863388
"
195,S-expletive,,,words,be,,O,2.43E-05,12,0.96097561,"0.8592896174863388
"
196,O,,,,express,ideas,O,2.15E-09,12,0.96097561,"0.8592896174863388
"
197,S,,,Jespersen,remain,,A,0.999359548,12,0.96097561,"0.8592896174863388
"
198,O,,,,convene,Meeting,A,0.730151236,12,0.96097561,"0.8592896174863388
"
199,O,,,,publish,project,O,1.11E-05,12,0.96097561,"0.8592896174863388
"
200,A,,,Jespersen,receive,degrees,A,0.999176562,12,0.96097561,"0.8592896174863388
"
201,O,,,,receive,degrees,O,0.003632704,12,0.96097561,"0.8592896174863388
"
202,O,,,,find,people,O,1.21E-05,12,0.96097561,"0.8592896174863388
"
203,O,,,,need,partner,O,0.000193059,12,0.96097561,"0.8592896174863388
"
204,S,,,person,want,,A,0.99999845,12,0.96097561,"0.8592896174863388
"
205,S-expletive,,,guy,be,,O,0.343376368,12,0.96097561,"0.8592896174863388
"
206,A,,,guys,waste,time,A,0.999999762,12,0.96097561,"0.8592896174863388
"
207,O,,,,waste,time,O,5.17E-10,12,0.96097561,"0.8592896174863388
"
208,O,,,,turn,back,O,2.92E-07,12,0.96097561,"0.8592896174863388
"
209,O,,,,learn,lambada,O,0.140993536,12,0.96097561,"0.8592896174863388
"
210,O,,,,find,girls,O,0.013902006,12,0.96097561,"0.8592896174863388
"
211,O,,,,tell,story,O,0.00449851,12,0.96097561,"0.8592896174863388
"
212,O,,,,tell,story,O,0.037648026,12,0.96097561,"0.8592896174863388
"
213,S-expletive,,,woman,be,,O,0.326998442,12,0.96097561,"0.8592896174863388
"
214,S,,,table,be,,A,0.653402388,12,0.96097561,"0.8592896174863388
"
215,A,,,one,have,skirt,A,1,12,0.96097561,"0.8592896174863388
"
216,O,,,,have,skirt,A,0.994053304,12,0.96097561,"0.8592896174863388
"
217,S-expletive,,,guy,be,,A,0.996866286,12,0.96097561,"0.8592896174863388
"
218,S,,,woman,look,,A,1,12,0.96097561,"0.8592896174863388
"
219,O,,,,make,eyes,O,3.21E-07,12,0.96097561,"0.8592896174863388
"
220,O,,,,take,hands,O,8.16E-06,12,0.96097561,"0.8592896174863388
"
221,S,,,people,cheer,,A,0.999985576,12,0.96097561,"0.8592896174863388
"
222,S,,,song,end,,O,0.16394347,12,0.96097561,"0.8592896174863388
"
223,S,,,guy,set,,A,0.999855876,12,0.96097561,"0.8592896174863388
"
224,S,,,woman,sit,,A,0.98306495,12,0.96097561,"0.8592896174863388
"
225,S,,,Jamie,be,,A,0.997840285,12,0.96097561,"0.8592896174863388
"
226,O,,,,take,guys,A,0.999845386,12,0.96097561,"0.8592896174863388
"
227,O,,,,think,thought,O,0.226948842,12,0.96097561,"0.8592896174863388
"
228,S-expletive,,,guys,be,,A,0.976121068,12,0.96097561,"0.8592896174863388
"
229,S,,,women,sit,,A,0.999912858,12,0.96097561,"0.8592896174863388
"
230,S,,,people,go,,A,0.999851346,12,0.96097561,"0.8592896174863388
"
231,O,,,,forbid,dance,O,0.00126334,12,0.96097561,"0.8592896174863388
"
232,A,,,Sam,take,interest,A,1,12,0.96097561,"0.8592896174863388
"
233,O,,,,take,interest,O,1.65E-09,12,0.96097561,"0.8592896174863388
"
234,O,,,,read,book,O,6.88E-09,12,0.96097561,"0.8592896174863388
"
235,O,,,,turn,ear,O,0.001780757,12,0.96097561,"0.8592896174863388
"
236,O,,,,call,Reg,O,0.049761981,12,0.96097561,"0.8592896174863388
"
237,S-aux,,,Duvall,might,,O,0.030551104,12,0.96097561,"0.8592896174863388
"
238,O,,,,associate,relationship,O,1.69E-08,12,0.96097561,"0.8592896174863388
"
239,O,,,,love,humor,O,1.01E-05,12,0.96097561,"0.8592896174863388
"
240,S,,,eyes,snap,,A,0.999923944,12,0.96097561,"0.8592896174863388
"
241,O,,,,get,letter,O,1.98E-07,12,0.96097561,"0.8592896174863388
"
242,A,,,point,mention,what,A,1,12,0.96097561,"0.8592896174863388
"
243,O,,,,have,business,O,0.000825613,12,0.96097561,"0.8592896174863388
"
244,S-expletive,,,Doctor,be,,O,0.016305484,12,0.96097561,"0.8592896174863388
"
245,O,,,,make,hay,O,5.28E-05,12,0.96097561,"0.8592896174863388
"
246,S,,,birds,get,,A,0.999948621,12,0.96097561,"0.8592896174863388
"
247,O,,,,grow,basil,O,0.00524777,12,0.96097561,"0.8592896174863388
"
248,S-expletive,,,proble-,be,,O,1.21E-05,12,0.96097561,"0.8592896174863388
"
249,O,,,,take,frost,O,0.000670216,12,0.96097561,"0.8592896174863388
"
250,O,,,,have,seeds,O,1.33E-05,12,0.96097561,"0.8592896174863388
"
251,O,,,,give,neighbor,A,0.556947112,12,0.96097561,"0.8592896174863388
"
252,O,,,,give,kind,O,1.64E-08,12,0.96097561,"0.8592896174863388
"
253,O,,,,give,pepper,O,3.79E-05,12,0.96097561,"0.8592896174863388
"
254,O,,,,give,herb,O,0.000890391,12,0.96097561,"0.8592896174863388
"
255,O,,,,give,basil,O,1.74E-05,12,0.96097561,"0.8592896174863388
"
256,O,,,,have,oregano,O,0.13630712,12,0.96097561,"0.8592896174863388
"
257,O,,,,have,lot,O,1.21E-06,12,0.96097561,"0.8592896174863388
"
258,O,,,,ask,Derya,A,0.5,12,0.96097561,"0.8592896174863388
"
259,O,,,,watch,stream,A,0.968743742,12,0.96097561,"0.8592896174863388
"
260,O,,,,rewind,nanosprings,O,0.011837397,12,0.96097561,"0.8592896174863388
"
261,O,,,,make,Frankfurt,A,0.93827045,12,0.96097561,"0.8592896174863388
"
262,O,,,,wear,sundress,O,0.000255396,12,0.96097561,"0.8592896174863388
"
263,S,,,shadows,move,,A,0.999680519,12,0.96097561,"0.8592896174863388
"
264,O,,,,hang,city,O,0.139320374,12,0.96097561,"0.8592896174863388
"
265,S,,,agent,notice,,A,1,12,0.96097561,"0.8592896174863388
"
266,O,,,,whisper,statistics,O,6.76E-06,12,0.96097561,"0.8592896174863388
"
267,A,,,suspension,weather,hurricane,A,0.992009401,12,0.96097561,"0.8592896174863388
"
268,O,,,,weather,hurricane,O,0.000233793,12,0.96097561,"0.8592896174863388
"
269,A,,,wind,whip,hair,A,1,12,0.96097561,"0.8592896174863388
"
270,O,,,,whip,hair,O,0.007425497,12,0.96097561,"0.8592896174863388
"
271,O,,,,ruffle,skirt,A,0.99945575,12,0.96097561,"0.8592896174863388
"
272,O,,,,remember,trip,A,0.946666181,12,0.96097561,"0.8592896174863388
"
273,O,,,,whir,warnings,O,2.87E-07,12,0.96097561,"0.8592896174863388
"
274,S-expletive,,,mites,be,,O,0.119470559,12,0.96097561,"0.8592896174863388
"
275,O,,,,clutch,railing,A,0.5,12,0.96097561,"0.8592896174863388
"
276,S,,,fear,surge,,A,0.998540401,12,0.96097561,"0.8592896174863388
"
277,O,,,,smile,smile,A,0.910839558,12,0.96097561,"0.8592896174863388
"
278,S,,,Derya,say,,A,0.999918103,12,0.96097561,"0.8592896174863388
"
279,A,,,whorls,make,constellations,A,0.999535203,12,0.96097561,"0.8592896174863388
"
280,O,,,,make,constellations,O,0.000707259,12,0.96097561,"0.8592896174863388
"
281,A,,,tattoos,adorn,triceps,O,0.140425086,12,0.96097561,"0.8592896174863388
"
282,O,,,,adorn,triceps,O,0.081777528,12,0.96097561,"0.8592896174863388
"
283,S,,,Derya,hear,,A,0.999999881,12,0.96097561,"0.8592896174863388
"
284,O,,,,give,look,O,4.54E-08,12,0.96097561,"0.8592896174863388
"
285,O,,,,hack,systems,O,1.17E-07,12,0.96097561,"0.8592896174863388
"
286,A,,,mites,see,them,A,0.999805987,12,0.96097561,"0.8592896174863388
"
287,S,,,Exchange,be,,A,0.956221581,12,0.96097561,"0.8592896174863388
"
288,S,,,mites,close,,A,0.933021963,12,0.96097561,"0.8592896174863388
"
289,S,,,swarm,coalesce,,A,0.999999881,12,0.96097561,"0.8592896174863388
"
290,S,,,cloud,disperse,,A,1,12,0.96097561,"0.8592896174863388
"
291,S,,,Derya,say,,A,0.999999642,12,0.96097561,"0.8592896174863388
"
292,A,,,effects,cause,slowdowns,A,0.65829587,12,0.96097561,"0.8592896174863388
"
293,O,,,,cause,slowdowns,O,4.40E-05,12,0.96097561,"0.8592896174863388
"
294,A,,,Freeloaders,drive,evolution,A,0.999998808,12,0.96097561,"0.8592896174863388
"
295,O,,,,drive,evolution,O,0.002925423,12,0.96097561,"0.8592896174863388
"
296,O,,,,quote,founders,O,0.0035554,12,0.96097561,"0.8592896174863388
"
297,S,,,Derya,snap,,A,0.999999523,12,0.96097561,"0.8592896174863388
"
298,A,,,people,find,behavior,A,0.999049127,12,0.96097561,"0.8592896174863388
"
299,O,,,,find,behavior,O,0.00860492,12,0.96097561,"0.8592896174863388
"
300,O,,,,meet,eye,O,1.23E-05,12,0.96097561,"0.8592896174863388
"
301,O,,,,pay,attention,O,7.48E-08,12,0.96097561,"0.8592896174863388
"
302,S-passive,,,rep,trash,,A,0.974894702,12,0.96097561,"0.8592896174863388
"
303,S,,,hat,sail,,A,0.999999881,12,0.96097561,"0.8592896174863388
"
304,A,,,mites,miss,it,A,0.996700346,12,0.96097561,"0.8592896174863388
"
305,S-passive,,,floor,desert,,A,0.912087858,12,0.96097561,"0.8592896174863388
"
306,S-expletive,,,heaps,be,,A,0.993985832,12,0.96097561,"0.8592896174863388
"
307,A,,,city,have,eyes,A,1,12,0.96097561,"0.8592896174863388
"
308,O,,,,have,eyes,O,0.001823147,12,0.96097561,"0.8592896174863388
"
309,S,,,Eyes,close,,A,0.966254592,12,0.96097561,"0.8592896174863388
"
310,S,,,Steven,want,,A,1,12,0.96097561,"0.8592896174863388
"
311,S-passive,,,walls,decorate,,A,0.999999762,12,0.96097561,"0.8592896174863388
"
312,A,,,Steven,have,diagrams,A,1,12,0.96097561,"0.8592896174863388
"
313,O,,,,have,diagrams,O,0.040973894,12,0.96097561,"0.8592896174863388
"
314,O,,,,set,implementations,O,0.001584288,12,0.96097561,"0.8592896174863388
"
315,O,,,,have,shelves,A,0.992519736,12,0.96097561,"0.8592896174863388
"
316,A,,,Steven,have,casts,A,1,12,0.96097561,"0.8592896174863388
"
317,O,,,,have,casts,A,0.971305609,12,0.96097561,"0.8592896174863388
"
318,S-passive,,,instruments,lock,,A,0.5,12,0.96097561,"0.8592896174863388
"
319,A,,,parents,have,key,A,1,12,0.96097561,"0.8592896174863388
"
320,O,,,,have,key,O,0.32755968,12,0.96097561,"0.8592896174863388
"
321,O,,,,encourage,interest,O,0.000205506,12,0.96097561,"0.8592896174863388
"
322,S,,,Dad,say,,A,1,12,0.96097561,"0.8592896174863388
"
323,O,,,,pick,locks,O,0.000107833,12,0.96097561,"0.8592896174863388
"
324,S,,,spikes,remain,,A,0.999719679,12,0.96097561,"0.8592896174863388
"
325,O,,,,see,interest,O,0.155335933,12,0.96097561,"0.8592896174863388
"
326,O,,,,have,interests,O,4.88E-05,12,0.96097561,"0.8592896174863388
"
327,O,,,,collect,caps,O,6.99E-07,12,0.96097561,"0.8592896174863388
"
