0,1,2,3,4,5,6,7,8,9,10,11,12
79,O,,,,aplica,proces,O,0.050956577,12,0.906976744,"0.7852998065764023
",
80,O,"""Dat",,,,aplica,procesului,A,0.621394455,12,0.906976744,"0.7852998065764023
"
81,S-passive,,,cetățeni,afecta,,O,0.227437317,12,0.906976744,"0.7852998065764023
",
82,A,,,S.U.A.,anunța,dublarea,A,0.999999881,12,0.906976744,"0.7852998065764023
",
83,O,"""Acc",,,,anunța,dublarea,O,0.001945807,12,0.906976744,"0.7852998065764023
"
84,O,,,,furniza,informații,O,1.65E-06,12,0.906976744,"0.7852998065764023
",
85,S,,,Coreea,promite,,O,0.030239817,12,0.906976744,"0.7852998065764023
",
86,O,"""Acc",,,,spori,capacitatea,O,1.11E-07,12,0.906976744,"0.7852998065764023
"
87,S-expletive,"""Acc",,,Statele,reprezenta,,O,0.073623955,12,0.906976744,"0.7852998065764023
"
88,O,,,,aduna,premii,O,2.18E-06,12,0.906976744,"0.7852998065764023
",
89,A,"""Acc",,,echipa,întrece,formația,A,1,12,0.906976744,"0.7852998065764023
"
90,O,"""Acc",,,,întrece,formația,A,0.870880902,12,0.906976744,"0.7852998065764023
"
91,A,"""Acc",,,Curtea,aproba,organizarea,A,0.999997377,12,0.906976744,"0.7852998065764023
"
92,O,"""Acc",,,,aproba,organizarea,A,0.5,12,0.906976744,"0.7852998065764023
"
93,O,,,,vinde,apartament,O,0.001974336,12,0.906976744,"0.7852998065764023
",
94,O,,,,vinde,apartament,O,0.002242644,12,0.906976744,"0.7852998065764023
",
95,O,,,,cumpăra,apartament,O,0.126451463,12,0.906976744,"0.7852998065764023
",
96,O,,,,închiria,apartament,O,0.005111718,12,0.906976744,"0.7852998065764023
",
97,O,,,,cumpăra,Dacia,A,0.91997236,12,0.906976744,"0.7852998065764023
",
98,O,,,,oferi,lei,O,4.53E-06,12,0.906976744,"0.7852998065764023
",
99,O,,,,executa,instalații,O,6.75E-05,12,0.906976744,"0.7852998065764023
",
100,O,,,,schimba,coloane,O,4.30E-06,12,0.906976744,"0.7852998065764023
",
101,O,,,,schimba,canal,O,0.001234439,12,0.906976744,"0.7852998065764023
",
102,O,,,,executa,RULOURI,O,0.022017758,12,0.906976744,"0.7852998065764023
",
103,O,,,,repara,TV,O,0.000228535,12,0.906976744,"0.7852998065764023
",
104,O,,,,repara,mașini,O,1.99E-07,12,0.906976744,"0.7852998065764023
",
105,O,,,,vinde,mașini,O,4.50E-08,12,0.906976744,"0.7852998065764023
",
106,O,,,,înlocui,coloane,O,0.000169319,12,0.906976744,"0.7852998065764023
",
107,O,,,,executa,instalații,O,1.04E-05,12,0.906976744,"0.7852998065764023
",
108,O,,,,tapița,canapele,O,0.008563689,12,0.906976744,"0.7852998065764023
",
109,O,,,,executa,instalații,O,0.01300141,12,0.906976744,"0.7852998065764023
",
110,O,,,,schimba,obiecte,O,4.72E-06,12,0.906976744,"0.7852998065764023
",
111,O,,,,desfunda,canale,O,0.001182834,12,0.906976744,"0.7852998065764023
",
112,O,,,,avea,copil,O,0.157820091,12,0.906976744,"0.7852998065764023
",
113,O,,,,executa,decupări,O,0.102118373,12,0.906976744,"0.7852998065764023
",
114,O,,,,executa,REPARAȚII,O,0.001481209,12,0.906976744,"0.7852998065764023
",
115,O,"""Acc",,,,asigura,garanție,O,0.020132255,12,0.906976744,"0.7852998065764023
"
116,O,"""Dat",,,,asigura,lucrării,O,0.068617538,12,0.906976744,"0.7852998065764023
"
117,O,,,,pierde,câine,O,4.02E-06,12,0.906976744,"0.7852998065764023
",
118,O,"""Acc",,,,pierdut,cățea,O,0.000159894,12,0.906976744,"0.7852998065764023
"
119,O,"""Acc",,,,purta,zgardă,O,1.74E-05,12,0.906976744,"0.7852998065764023
"
120,S,"""Acc",,,Vântul,sufla,,A,0.999999642,12,0.906976744,"0.7852998065764023
"
121,S-passive,,,număr,expedia,,O,0.072326429,12,0.906976744,"0.7852998065764023
",
122,S,"""Acc",,,Părțile,asocia,,A,1,12,0.906976744,"0.7852998065764023
"
123,O,"""Acc",,,,viza,echiparea,O,0.087648802,12,0.906976744,"0.7852998065764023
"
124,S,"""Acc",,,Filmul,baza,,A,0.999969959,12,0.906976744,"0.7852998065764023
"
125,S,"""Acc",,,deciziile,putea,,A,0.878625095,12,0.906976744,"0.7852998065764023
"
126,A,"""Acc",,,Romanul,povesti,viața,A,1,12,0.906976744,"0.7852998065764023
"
127,O,"""Acc",,,,povesti,viața,A,0.696095049,12,0.906976744,"0.7852998065764023
"
128,S,"""Acc",,,soldații,trece,,A,1,12,0.906976744,"0.7852998065764023
"
129,S-passive,"""Acc",,,opera,distinge,,A,0.999999762,12,0.906976744,"0.7852998065764023
"
130,O,"""Acc",,,,iubi,femeile,O,0.027609082,12,0.906976744,"0.7852998065764023
"
131,S,"""Acc",,,scriitorul,feri,,A,0.999643326,12,0.906976744,"0.7852998065764023
"
132,O,,,,crea,așteptări,O,0.001894863,12,0.906976744,"0.7852998065764023
",
133,S,"""Acc",,,adulții,avea,,A,0.990965605,12,0.906976744,"0.7852998065764023
"
134,O,"""Acc",,,,alege,stațiunile,O,0.000249817,12,0.906976744,"0.7852998065764023
"
135,S,,,români,prefera,,A,0.94426471,12,0.906976744,"0.7852998065764023
",
136,O,"""Acc",,,,petrece,Revelionul,O,1.87E-05,12,0.906976744,"0.7852998065764023
"
137,S-passive,"""Acc",,,Profesorii,selecta,,A,0.983325481,12,0.906976744,"0.7852998065764023
"
138,S-passive,"""Acc",,,fețele,vopsi,,O,6.10E-06,12,0.906976744,"0.7852998065764023
"
139,S-passive,"""Acc",,,branțurile,schimba,,O,0.003947299,12,0.906976744,"0.7852998065764023
"
140,O-aux,"""Acc",,,,avea,dreptul,O,0.038821895,12,0.906976744,"0.7852998065764023
"
141,A-aux,"""Acc",,,organizațiile,avea,dreptul,A,0.88965106,12,0.906976744,"0.7852998065764023
"
142,S-aux,"""Acc",,,faptul,fi,,O,0.33062607,12,0.906976744,"0.7852998065764023
"
143,A,"""Acc",,,atelierul,oferi,reducere,A,0.99905616,12,0.906976744,"0.7852998065764023
"
144,O,"""Dat",,,,oferi,membrilor,O,0.043080073,12,0.906976744,"0.7852998065764023
"
145,O,"""Acc",,,,oferi,reducere,O,0.014864788,12,0.906976744,"0.7852998065764023
"
146,O,,,,primi,răspuns,O,0.000285544,12,0.906976744,"0.7852998065764023
",
147,O,,,,oferi,mass-media,A,0.635896862,12,0.906976744,"0.7852998065764023
",
148,S,"""Acc",,,actele,anexa,,O,0.289756209,12,0.906976744,"0.7852998065764023
"
149,S-passive,"""Acc",,,condițiile,îndeplini,,O,0.000118766,12,0.906976744,"0.7852998065764023
"
150,S,"""Acc",,,Consiliul,colabora,,A,0.884773195,12,0.906976744,"0.7852998065764023
"
151,A,"""Acc",,,Serviciile,cunoaște,scumpiri,A,1,12,0.906976744,"0.7852998065764023
"
152,O,,,,cunoaște,scumpiri,O,0.001801989,12,0.906976744,"0.7852998065764023
",
153,S,"""Acc",,,tarifele,urca,,A,0.999993205,12,0.906976744,"0.7852998065764023
"
154,A,"""Acc",,,Datele,evidenția,faptul,A,0.999998093,12,0.906976744,"0.7852998065764023
"
155,O,"""Acc",,,,evidenția,faptul,O,0.010250547,12,0.906976744,"0.7852998065764023
"
156,S,"""Acc",,,producția,crește,,A,0.999967575,12,0.906976744,"0.7852998065764023
"
157,S-passive,,,situații,constata,,O,0.166828334,12,0.906976744,"0.7852998065764023
",
158,A,"""Acc",,,Pompierii,salva,bunuri,A,0.999999046,12,0.906976744,"0.7852998065764023
"
159,O,,,,salva,bunuri,O,3.11E-07,12,0.906976744,"0.7852998065764023
",
160,S-passive,"""Acc",,,Asociația,constitui,,A,0.959144413,12,0.906976744,"0.7852998065764023
"
161,S-passive,"""Acc",,,Podul,mărgini,,A,0.999988794,12,0.906976744,"0.7852998065764023
"
162,S,,,avioane,prăbuși,,A,0.997472584,12,0.906976744,"0.7852998065764023
",
163,O,"""Acc",,,,pierde,viața,O,1.23E-06,12,0.906976744,"0.7852998065764023
"
164,A,,,persoane,pierde,viața,O,0.001204405,12,0.906976744,"0.7852998065764023
",
165,S,"""Acc",,,premierul,hotărî,,A,0.999978304,12,0.906976744,"0.7852998065764023
"
166,A,"""Acc",,,Ministerul,transmite,scrisoare,A,0.999998927,12,0.906976744,"0.7852998065764023
"
167,O,"""Dat",,,,transmite,autorităților,O,0.029010363,12,0.906976744,"0.7852998065764023
"
168,O,"""Acc",,,,transmite,scrisoare,O,8.22E-08,12,0.906976744,"0.7852998065764023
"
169,A,,,Rusia,respecta,contractele,O,0.144515738,12,0.906976744,"0.7852998065764023
",
170,O,"""Acc",,,,respecta,contractele,O,6.53E-10,12,0.906976744,"0.7852998065764023
"
171,A,"""Acc",,,Papa,cere,omenirii,A,1,12,0.906976744,"0.7852998065764023
"
172,O,,,,celebra,An,A,0.863954067,12,0.906976744,"0.7852998065764023
",
173,O,"""Dat",,,,cere,omenirii,O,0.003993359,12,0.906976744,"0.7852998065764023
"
174,O,"""Acc",,,,întări,credința,O,2.30E-08,12,0.906976744,"0.7852998065764023
"
175,S,"""Acc",,,delegație,întoarce,,O,0.303095847,12,0.906976744,"0.7852998065764023
"
176,O,,,,oferi,explicații,O,1.91E-09,12,0.906976744,"0.7852998065764023
",
177,O,"""Acc",,,,reafirma,respingerea,O,4.91E-07,12,0.906976744,"0.7852998065764023
"
178,O,"""Acc",,,,promite,iadul,O,0.079163931,12,0.906976744,"0.7852998065764023
"
179,A,,,Turcia,lansa,U.E.,A,0.759895861,12,0.906976744,"0.7852998065764023
",
180,O,"""Acc",,,,lansa,provocare,O,7.24E-07,12,0.906976744,"0.7852998065764023
"
181,O,,,,lansa,U.E.,O,1.56E-06,12,0.906976744,"0.7852998065764023
",
182,A,"""Acc",,,condiție,determina,o,O,0.468622088,12,0.906976744,"0.7852998065764023
"
183,O,"""Acc",,,,înceta,negocierile,O,0.000498023,12,0.906976744,"0.7852998065764023
"
184,S,"""Acc",,,Președintele,declara,,A,0.957901418,12,0.906976744,"0.7852998065764023
"
185,O,,,,asuma,rol,O,1.94E-06,12,0.906976744,"0.7852998065764023
",
186,S-passive,,,preparate,putea,,O,0.157764614,12,0.906976744,"0.7852998065764023
",
187,S-passive,,,Ferenc,desemna,,A,0.999993086,12,0.906976744,"0.7852998065764023
",
188,S-passive,"""Acc",,,Luciul,străpunge,,O,0.217569456,12,0.906976744,"0.7852998065764023
"
189,A,"""Acc",,,pescarii,amenaja,platforme,A,0.5,12,0.906976744,"0.7852998065764023
"
190,O,,,,amenaja,platforme,O,0.019907402,12,0.906976744,"0.7852998065764023
",
191,S,,,supe,regăsi,,O,0.05188287,12,0.906976744,"0.7852998065764023
",
192,S,"""Acc",,,gospodarii,gândi,,A,0.911230862,12,0.906976744,"0.7852998065764023
"
193,O,"""Acc",,,,începe,cultivarea,O,0.000976557,12,0.906976744,"0.7852998065764023
"
194,S,"""Acc",,,Administratorii,promite,,A,0.999987841,12,0.906976744,"0.7852998065764023
"
195,S-passive,"""Acc",,,livrarea,face,,A,0.937742174,12,0.906976744,"0.7852998065764023
"
196,S-passive,"""Acc",,,Costul,suporta,,A,0.999997139,12,0.906976744,"0.7852998065764023
"
197,S-passive,"""Acc",,,confirmarea,solicita,,O,0.03130319,12,0.906976744,"0.7852998065764023
"
198,S,"""Acc",,,Finlandezul,încerca,,O,0.4579615,12,0.906976744,"0.7852998065764023
"
199,O,"""Acc",,,,apăra,titlul,O,0.000326437,12,0.906976744,"0.7852998065764023
"
200,S,,,tribunal,anunța,,A,0.955529094,12,0.906976744,"0.7852998065764023
",
201,S,"""Acc",,,folosirea,interzice,,O,2.55E-06,12,0.906976744,"0.7852998065764023
"
202,S-passive,"""Acc",,,Decizia,lua,,A,0.998051286,12,0.906976744,"0.7852998065764023
"
203,S-passive,"""Acc",,,compania,implica,,O,0.218864396,12,0.906976744,"0.7852998065764023
"
204,O,"""Acc",,,,utiliza,sigla,O,5.34E-07,12,0.906976744,"0.7852998065764023
"
205,S,,,ayatollah,pleca,,A,0.999993682,12,0.906976744,"0.7852998065764023
",
206,O,"""Dat",,,,pune,confruntărilor,O,3.66E-06,12,0.906976744,"0.7852998065764023
"
207,A,"""Acc",,,Trustul,premia,primul,A,0.999994516,12,0.906976744,"0.7852998065764023
"
208,S,,,Mihaela,deveni,,A,0.999994278,12,0.906976744,"0.7852998065764023
",
209,A,,,sondaj,releva,faptul,A,0.996585965,12,0.906976744,"0.7852998065764023
",
210,O,"""Acc",,,,releva,faptul,O,0.290484875,12,0.906976744,"0.7852998065764023
"
211,A,"""Acc",,,Curtea,anula,interdicția,A,0.979904652,12,0.906976744,"0.7852998065764023
"
212,O,"""Acc",,,,anula,interdicția,O,0.001106324,12,0.906976744,"0.7852998065764023
"
213,O,"""Acc",,,,permite,învestirea,O,9.61E-05,12,0.906976744,"0.7852998065764023
"
214,S,,,România,afla,,A,0.999544203,12,0.906976744,"0.7852998065764023
",
215,O,,,,avea,acces,O,4.85E-05,12,0.906976744,"0.7852998065764023
",
216,A,,,formații,avea,acces,A,0.972819984,12,0.906976744,"0.7852998065764023
",
217,A,"""Acc",,,Statele,asigura,interzicerea,A,0.999999642,12,0.906976744,"0.7852998065764023
"
218,O,"""Acc",,,,asigura,interzicerea,O,0.048870012,12,0.906976744,"0.7852998065764023
"
219,O,"""Acc",,,,conține,substanțele,O,7.96E-08,12,0.906976744,"0.7852998065764023
"
220,S-passive,"""Acc",,,prezența,constata,,O,0.269327641,12,0.906976744,"0.7852998065764023
"
221,S-passive,,,animale,trata,,A,0.887092531,12,0.906976744,"0.7852998065764023
",
222,A,"""Acc",,,Statele,asigura,interzicerea,A,1,12,0.906976744,"0.7852998065764023
"
223,O,"""Acc",,,,asigura,interzicerea,O,0.008098528,12,0.906976744,"0.7852998065764023
"
224,S-expletive-passive,"""Acc",,,substanțele,administra,cărora,O,7.59E-06,12,0.906976744,"0.7852998065764023
"
225,S-passive,"""Acc",,,cuvintele,elimina,,O,0.009981478,12,0.906976744,"0.7852998065764023
"
226,S-passive,"""Acc",,,teză,înlocui,,A,0.998842716,12,0.906976744,"0.7852998065764023
"
227,O,"""Acc",,,,aduce,atingere,A,0.881728113,12,0.906976744,"0.7852998065764023
"
228,O,"""Dat",,,,aduce,articolului,A,0.999993563,12,0.906976744,"0.7852998065764023
"
229,S,"""Acc",,,statele,putea,,A,0.999975681,12,0.906976744,"0.7852998065764023
"
230,O,"""Acc",,,,autoriza,administrarea,O,0.395580411,12,0.906976744,"0.7852998065764023
"
231,O,"""Acc",,,,preveni,introducerea,O,0.002102605,12,0.906976744,"0.7852998065764023
"
232,S-passive,"""Acc",,,aplicarea,monitoriza,,A,0.964840293,12,0.906976744,"0.7852998065764023
"
233,O,"""Acc",,,,aduce,atingere,A,0.893937945,12,0.906976744,"0.7852998065764023
"
234,S,"""Acc",,,statele,putea,,A,1,12,0.906976744,"0.7852998065764023
"
235,O,"""Acc",,,,autoriza,administrarea,A,0.965053082,12,0.906976744,"0.7852998065764023
"
236,O,,,,conține,estradiol,A,0.999991179,12,0.906976744,"0.7852998065764023
",
237,A,"""Acc",,,Medicul,administra,tratamentul,A,1,12,0.906976744,"0.7852998065764023
"
238,O,"""Acc",,,,administra,tratamentul,O,0.22224167,12,0.906976744,"0.7852998065764023
"
239,A,,,tratament,face,obiectul,A,0.998278856,12,0.906976744,"0.7852998065764023
",
240,O,"""Acc",,,,face,obiectul,O,0.00065442,12,0.906976744,"0.7852998065764023
"
241,O,,,,nota,informații,O,0.000996769,12,0.906976744,"0.7852998065764023
",
242,O,"""Dat",,,,interzice,deținătorilor,A,0.998890221,12,0.906976744,"0.7852998065764023
"
243,A-passive,"""Acc",,,deținerea,interzice,deținătorilor,O,0.10497012,12,0.906976744,"0.7852998065764023
"
244,O,,,,conține,estradiol,O,0.058090571,12,0.906976744,"0.7852998065764023
",
245,S-passive,"""Acc",,,alineatul,înlocui,,A,0.999871254,12,0.906976744,"0.7852998065764023
"
246,A,"""Acc",,,Produsele,îndeplini,cerințele,A,0.999981284,12,0.906976744,"0.7852998065764023
"
247,S-passive,"""Acc",,,administrare,autoriza,,O,0.159457162,12,0.906976744,"0.7852998065764023
"
248,O,"""Acc",,,,îndeplini,cerințele,O,0.258165359,12,0.906976744,"0.7852998065764023
"
249,S-passive,,,paragraf,înlocui,,O,0.141348049,12,0.906976744,"0.7852998065764023
",
250,S,"""Acc",,,statele,putea,,A,0.999998212,12,0.906976744,"0.7852998065764023
"
251,O,"""Acc",,,,autoriza,introducerea,O,0.010516346,12,0.906976744,"0.7852998065764023
"
252,O,"""Acc",,,,autoriza,aplicarea,O,0.001621459,12,0.906976744,"0.7852998065764023
"
253,S-passive,"""Acc",,,condițiile,respecta,,O,0.183841333,12,0.906976744,"0.7852998065764023
"
254,S-passive,"""Acc",,,Deținerea,limita,,A,0.958804429,12,0.906976744,"0.7852998065764023
"
255,S-passive,"""Acc",,,cuvintele,înlocui,,A,0.999999881,12,0.906976744,"0.7852998065764023
"
256,O,,,,conține,categorii,A,0.985130847,12,0.906976744,"0.7852998065764023
",
257,O,,,,include,preparate,A,0.777381837,12,0.906976744,"0.7852998065764023
",
258,S,,,produse,reprezenta,,A,0.999999166,12,0.906976744,"0.7852998065764023
",
259,S-passive,"""Acc",,,Produsele,prezenta,,A,0.999103487,12,0.906976744,"0.7852998065764023
"
260,O,,,,supune,restricții,A,0.997055054,12,0.906976744,"0.7852998065764023
",
261,S,"""Acc",,,măsură,reprezenta,,A,0.999924541,12,0.906976744,"0.7852998065764023
"
262,S,"""Acc",,,procedura,reprezenta,,A,0.999999642,12,0.906976744,"0.7852998065764023
"
263,S,"""Acc",,,exportul,plasa,,A,0.890150189,12,0.906976744,"0.7852998065764023
"
264,O,"""Acc",,,,întruni,condițiile,O,0.426991194,12,0.906976744,"0.7852998065764023
"
265,O,"""Acc",,,,întruni,condițiile,O,0.374280006,12,0.906976744,"0.7852998065764023
"
266,S,,,import,reprezenta,,A,0.999999046,12,0.906976744,"0.7852998065764023
",
267,S,,,importator,reprezenta,,A,0.995855391,12,0.906976744,"0.7852998065764023
",
268,S,"""Acc",,,parte,reprezenta,,A,0.965792298,12,0.906976744,"0.7852998065764023
"
269,O,"""Dat",,,,conforma,convenției,O,0.001603945,12,0.906976744,"0.7852998065764023
"
270,O,"""Acc",,,,ratifica,convenția,O,0.001458021,12,0.906976744,"0.7852998065764023
"
271,S,"""Acc",,,țară,reprezenta,,A,0.997752249,12,0.906976744,"0.7852998065764023
"
272,S,"""Acc",,,conferința,reprezenta,,A,1,12,0.906976744,"0.7852998065764023
"
273,O,,,,exercita,funcții,A,0.650653064,12,0.906976744,"0.7852998065764023
",
274,S,,,comitet,reprezenta,,A,0.999978662,12,0.906976744,"0.7852998065764023
",
275,S,,,secretariat,reprezenta,,A,0.99998033,12,0.906976744,"0.7852998065764023
",
276,S,,,document,reprezenta,,A,0.999999285,12,0.906976744,"0.7852998065764023
",
277,O,"""Dat",,,,supune,procedurii,O,0.365059048,12,0.906976744,"0.7852998065764023
"
278,A,,,stat,informa,Comisia,A,1,12,0.906976744,"0.7852998065764023
",
279,O,"""Acc",,,,informa,Comisia,A,0.956304133,12,0.906976744,"0.7852998065764023
"
280,A,"""Acc",,,Comisia,prezenta,reacțiile,A,1,12,0.906976744,"0.7852998065764023
"
281,O,"""Dat",,,,prezenta,secretariatului,A,0.995841324,12,0.906976744,"0.7852998065764023
"
282,O,"""Acc",,,,prezenta,reacțiile,O,0.104709327,12,0.906976744,"0.7852998065764023
"
283,O,"""Acc",,,,face,obiectul,O,4.73E-08,12,0.906976744,"0.7852998065764023
"
284,O,"""Acc",,,,înființa,rețea,A,0.602740824,12,0.906976744,"0.7852998065764023
"
285,O,"""Acc",,,,fi,cazul,O,0.161392599,12,0.906976744,"0.7852998065764023
"
286,A,"""Acc",,,Comisia,lua,măsurile,A,0.999997854,12,0.906976744,"0.7852998065764023
"
